feature,arm,stratum,stratum_probability,selection_probability,selected_mean,population_mean,drift,covariance_formula,absolute_error
Compressed score,0,-2,0.25,0.32133884470703344,-0.839671844910349,-1.0499999999999998,0.21032815508965086,0.21032815508965094,8.326672684688674e-17
Compressed score,0,0,0.5,0.25687275415365246,0.5617153270261308,0.7000000000000001,-0.13828467297386926,-0.13828467297386932,5.551115123125783e-17
Compressed score,0,2,0.25,0.11011720252684828,2.1268903221327826,2.45,-0.32310967786721756,-0.3231096778672171,4.440892098500626e-16
Compressed score,1,-2,0.25,0.11841505456943519,-0.149512877242046,-0.7499999999999999,0.6004871227579539,0.6004871227579539,0.0
Compressed score,1,0,0.5,0.36194283463917926,1.7509624891467654,1.3000000000000003,0.4509624891467652,0.45096248914676534,1.6653345369377348e-16
Compressed score,1,2,0.25,0.6543717409178739,3.5325505535861335,3.35,0.18255055358613337,0.18255055358613406,6.938893903907228e-16
Richer reconstruction strata,0,-2|0|-1,0.0625,0.18976661150112387,-2.1,-2.1,0.0,0.0,0.0
Richer reconstruction strata,0,-2|0|1,0.0625,0.4326258656482098,-0.7999999999999999,-0.7999999999999999,0.0,0.0,0.0
Richer reconstruction strata,0,-2|1|-1,0.0625,0.257435496642409,-1.2999999999999998,-1.2999999999999998,0.0,0.0,0.0
Richer reconstruction strata,0,-2|1|1,0.0625,0.40552740503639106,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0
Richer reconstruction strata,0,0|0|-1,0.125,0.27085395421346664,-0.40592905747153196,-0.35,-0.055929057471531984,-0.05592905747153201,2.7755575615628914e-17
Richer reconstruction strata,0,0|0|1,0.125,0.3022347121116325,0.8741414252840541,0.9500000000000002,-0.07585857471594604,-0.07585857471594594,9.71445146547012e-17
Richer reconstruction strata,0,0|1|-1,0.125,0.2591767441838068,0.380966975020993,0.45000000000000007,-0.06903302497900704,-0.06903302497900701,2.7755575615628914e-17
Richer reconstruction strata,0,0|1|1,0.125,0.19522560610570389,1.6604957053728053,1.75,-0.08950429462719467,-0.08950429462719471,4.163336342344337e-17
Richer reconstruction strata,0,2|0|-1,0.0625,0.18079977555781795,1.4,1.4,0.0,0.0,0.0
Richer reconstruction strata,0,2|0|1,0.0625,0.09868487256685132,2.6999999999999997,2.6999999999999997,0.0,0.0,0.0
Richer reconstruction strata,0,2|1|-1,0.0625,0.11244966094786173,2.2,2.2,0.0,0.0,0.0
Richer reconstruction strata,0,2|1|1,0.0625,0.048534501034862135,3.5,3.5,0.0,0.0,0.0
Richer reconstruction strata,1,-2|0|-1,0.0625,0.01822574290249914,-1.7999999999999998,-1.8,2.220446049250313e-16,0.0,2.220446049250313e-16
Richer reconstruction strata,1,-2|0|1,0.0625,0.12626754719752253,-0.4999999999999999,-0.49999999999999994,5.551115123125783e-17,0.0,5.551115123125783e-17
Richer reconstruction strata,1,-2|1|-1,0.0625,0.05663713053835124,-0.9999999999999998,-0.9999999999999998,0.0,0.0,0.0
Richer reconstruction strata,1,-2|1|1,0.0625,0.2725297976393678,0.3000000000000001,0.3000000000000001,0.0,0.0,0.0
Richer reconstruction strata,1,0|0|-1,0.125,0.12757114998168576,0.36879718578095755,0.24999999999999997,0.11879718578095758,0.11879718578095756,1.3877787807814457e-17
Richer reconstruction strata,1,0|0|1,0.125,0.4257879649024613,1.6239707091860216,1.55,0.07397070918602155,0.07397070918602147,8.326672684688674e-17
Richer reconstruction strata,1,0|1|-1,0.125,0.2731819335285407,1.1392999829508326,1.05,0.08929998295083252,0.08929998295083233,1.942890293094024e-16
Richer reconstruction strata,1,0|1|1,0.125,0.6212302901440292,2.3908075533360043,2.35,0.040807553336004165,0.04080755333600434,1.734723475976807e-16
Richer reconstruction strata,1,2|0|-1,0.0625,0.4232258707494546,2.3,2.3,0.0,0.0,0.0
Richer reconstruction strata,1,2|0|1,0.0625,0.7390103345248301,3.5999999999999996,3.5999999999999996,0.0,0.0,0.0
Richer reconstruction strata,1,2|1|-1,0.0625,0.6081192472604852,3.1,3.1,0.0,0.0,0.0
Richer reconstruction strata,1,2|1|1,0.0625,0.8471315111367254,4.4,4.4,0.0,0.0,0.0
