replication,failureMode,setting,true,estimate,bias,se,ciLow,ciHigh,covered
1,AI extraction error,low extraction error,0.661309193910361,0.8428205589799276,0.18151136506956655,0.10167597514264015,0.6435356477003529,1.0421054702595023,1
2,AI extraction error,low extraction error,0.6449235077731178,0.6682292224757501,0.02330571470263232,0.11810029254381636,0.43675264908987005,0.8997057958616301,1
3,AI extraction error,low extraction error,0.6250107445315652,0.6400062311623235,0.014995486630758226,0.10444359527325106,0.4352967844267514,0.8447156778978955,1
4,AI extraction error,low extraction error,0.6247666994824491,0.5117687115146552,-0.11299798796779392,0.11736019286352113,0.2817427335021538,0.7417946895271565,1
5,AI extraction error,low extraction error,0.6325201456737188,0.5956347181616657,-0.03688542751205315,0.0926177945310916,0.41410384088072616,0.7771655954426052,1
6,AI extraction error,low extraction error,0.6366456020411592,0.644307503355658,0.007661901314498842,0.10909512876132009,0.43048105098347067,0.8581339557278453,1
7,AI extraction error,low extraction error,0.6579090342989166,0.5520308809099792,-0.10587815338893736,0.11636430967294177,0.3239568339510134,0.780104927868945,1
8,AI extraction error,low extraction error,0.6411741827345644,0.6905330977517044,0.04935891501713996,0.10981539588422806,0.4752949218186173,0.9057712736847914,1
9,AI extraction error,low extraction error,0.6522583083336051,0.7254840707746923,0.07322576244108725,0.11838089047705129,0.4934575254396718,0.9575106161097129,1
10,AI extraction error,low extraction error,0.6289622837185779,0.6143823600921464,-0.014579923626431457,0.11753895400004646,0.3840060102520554,0.8447587099322375,1
11,AI extraction error,low extraction error,0.6525030708317444,0.759029530534556,0.1065264597028116,0.11719038139361941,0.529336383003062,0.9887226780660501,1
12,AI extraction error,low extraction error,0.6470500097067413,0.6984950637162759,0.051445054009534585,0.11606237008236858,0.4710128183548335,0.9259773090777184,1
13,AI extraction error,low extraction error,0.6466719238527446,0.7415864076600477,0.09491448380730305,0.11398096347927937,0.5181837192406601,0.9649890960794353,1
14,AI extraction error,low extraction error,0.6564980898436086,0.6272055467462645,-0.02929254309734408,0.12657755788923453,0.37911353328336483,0.8752975602091642,1
15,AI extraction error,low extraction error,0.6430846850112591,0.6088398876595776,-0.03424479735168151,0.10836282852747692,0.3964487437457229,0.8212310315734324,1
16,AI extraction error,low extraction error,0.6590113267624143,0.7943917032968295,0.13538037653441526,0.10791202700211866,0.582884130372677,1.005899276220982,1
17,AI extraction error,low extraction error,0.615442912910923,0.5001677352803009,-0.11527517763062212,0.1039754540827248,0.2963758452781603,0.7039596252824415,1
18,AI extraction error,low extraction error,0.6493584527472532,0.8136901822309747,0.16433172948372143,0.11275414976608608,0.5926920486894459,1.0346883157725033,1
19,AI extraction error,low extraction error,0.6470061196077085,0.7368089550753758,0.08980283546766732,0.10545464803766635,0.5301178449215498,0.9435000652292018,1
20,AI extraction error,low extraction error,0.6482731152557552,0.6649449035270075,0.016671788271252375,0.10878451486547938,0.45172725439066796,0.8781625526633471,1
21,AI extraction error,low extraction error,0.6402401544542297,0.49879626540120836,-0.1414438890530213,0.11765986907304724,0.2681829220180358,0.7294096087843809,1
22,AI extraction error,low extraction error,0.6422612197304663,0.7092911556469014,0.06702993591643502,0.10764031136410873,0.49831614537324825,0.9202661659205544,1
23,AI extraction error,low extraction error,0.6497008008858229,0.7748135383626984,0.12511273747687546,0.10912674171495727,0.5609251246013821,0.9887019521240147,1
24,AI extraction error,low extraction error,0.6422436620163449,0.6543722327706478,0.012128570754302959,0.11520537612945064,0.4285696955569246,0.880174769984371,1
25,AI extraction error,low extraction error,0.6421515132411629,0.5447434113158096,-0.09740810192535332,0.11472224664428186,0.3198878078930172,0.769599014738602,1
26,AI extraction error,low extraction error,0.6201921332777182,0.6407703561809656,0.0205782229032474,0.11733783236039115,0.4107882047545989,0.8707525076073322,1
27,AI extraction error,low extraction error,0.6376690532566743,0.6694045198641274,0.03173546660745308,0.11705187907653877,0.43998283687411144,0.8988262028541434,1
28,AI extraction error,low extraction error,0.6539135208194456,0.583084300673996,-0.07082922014544968,0.11654382078229693,0.35465841194069403,0.8115101894072979,1
29,AI extraction error,low extraction error,0.6488751748355613,0.608260137039243,-0.040615037796318365,0.10436683457088143,0.40370114128031537,0.8128191327981706,1
30,AI extraction error,low extraction error,0.6424585025262457,0.6446096177318025,0.002151115205556775,0.09919514335200622,0.4501871367618703,0.8390320987017347,1
31,AI extraction error,low extraction error,0.64543008620144,0.6710168709417501,0.025586784740310065,0.12390618709796886,0.42816074422973116,0.9138729976537691,1
32,AI extraction error,low extraction error,0.6405032785485741,0.6611152731961617,0.02061199464758756,0.12112801454759294,0.42370436468287953,0.8985261817094439,1
33,AI extraction error,low extraction error,0.6292295093148765,0.8857723859840656,0.25654287666918907,0.11353635420601235,0.6632411317402814,1.1083036402278499,0
34,AI extraction error,low extraction error,0.6232372409438498,0.6456453709206523,0.022408129976802527,0.10963269045196726,0.43076529763479654,0.8605254442065081,1
35,AI extraction error,low extraction error,0.611675647375317,0.5528202654067371,-0.05885538196857987,0.12248884499148886,0.31274212922341893,0.7928984015900553,1
36,AI extraction error,low extraction error,0.6481117671868302,0.5089092540316331,-0.13920251315519705,0.1084012567367202,0.29644279082766156,0.7213757172356047,1
37,AI extraction error,low extraction error,0.6440792642077717,0.5824988902335504,-0.061580373974221336,0.1161258521154983,0.35489222008717375,0.810105560379927,1
38,AI extraction error,low extraction error,0.6170599488709758,0.23623640041767321,-0.3808235484533026,0.11136136096030826,0.017968132935469033,0.4545046678998774,0
39,AI extraction error,low extraction error,0.654252991579659,0.5434268379394337,-0.1108261536402253,0.09445226482943725,0.35830039887373666,0.7285532770051307,1
40,AI extraction error,low extraction error,0.6443572590549715,0.6537459716673661,0.0093887126123946,0.11102850910872995,0.43613009381425544,0.8713618495204769,1
41,AI extraction error,low extraction error,0.6397644105570384,0.5401854973603177,-0.09957891319672063,0.11912421684939,0.30670203233551335,0.7736689623851221,1
42,AI extraction error,low extraction error,0.6420738168985424,0.6706350937711325,0.028561276872590136,0.1134017744638938,0.44836761582190066,0.8929025717203644,1
43,AI extraction error,low extraction error,0.6389217043370006,0.6315981793299552,-0.007323525007045362,0.11446259594429883,0.4072514912791295,0.8559448673807809,1
44,AI extraction error,low extraction error,0.6381503024319515,0.6495714020947527,0.011421099662801248,0.12384164178372098,0.4068417841986596,0.8923010199908459,1
45,AI extraction error,low extraction error,0.6238920953203563,0.8082839595816816,0.18439186426132537,0.11201144729429059,0.588741522884872,1.0278263962784913,1
46,AI extraction error,low extraction error,0.6497261348979395,0.8363068615232175,0.18658072662527803,0.10644736277937884,0.6276700304756351,1.0449436925708,1
47,AI extraction error,low extraction error,0.6399415253414489,0.6727722832212909,0.03283075787984202,0.11372969163090406,0.4498620876247189,0.8956824788178629,1
48,AI extraction error,low extraction error,0.6331606597827915,0.5720659500948969,-0.061094709687894544,0.10545395164115261,0.3653762048782378,0.778755695311556,1
49,AI extraction error,low extraction error,0.6434447490361733,0.6270146689791039,-0.016430080057069474,0.10174457389994632,0.4275953041352091,0.8264340338229986,1
50,AI extraction error,low extraction error,0.6417810064418284,0.6206054295979858,-0.021175576843842636,0.1076385578149111,0.40963385628076004,0.8315770029152116,1
51,AI extraction error,low extraction error,0.6380238795801153,0.4645928859756458,-0.1734309936044695,0.11654026782226314,0.23617396104401006,0.6930118109072816,1
52,AI extraction error,low extraction error,0.6336983430466945,0.7780068689539167,0.1443085259072222,0.1121266480701849,0.5582386387363543,0.9977750991714791,1
53,AI extraction error,low extraction error,0.6778740170771185,0.5641800367230833,-0.11369398035403522,0.10101278702702621,0.36619497415011193,0.7621650992960546,1
54,AI extraction error,low extraction error,0.6473091041757193,0.5871972175954616,-0.06011188658025768,0.11666100025773679,0.3585416570902975,0.8158527781006257,1
55,AI extraction error,low extraction error,0.6339501223765953,0.6730153567291993,0.039065234352604006,0.09976220552219105,0.47748143390570486,0.8685492795526938,1
56,AI extraction error,low extraction error,0.6280952528258061,0.5888666863545047,-0.03922856647130146,0.10819334277906013,0.3768077345075468,0.8009256382014626,1
57,AI extraction error,low extraction error,0.6474409557176067,0.48645226365950933,-0.1609886920580974,0.11495221068163747,0.2611459307234999,0.7117585965955188,1
58,AI extraction error,low extraction error,0.6431317630822605,0.6117488283046247,-0.03138293477763576,0.10881311705384243,0.3984751188790936,0.8250225377301559,1
59,AI extraction error,low extraction error,0.6601886739954722,0.6582895948196068,-0.0018990791758654035,0.11709750154379268,0.42877849179377314,0.8878006978454405,1
60,AI extraction error,low extraction error,0.6492429254359354,0.6148801632687037,-0.034362762167231775,0.12059356507993356,0.3785167757120339,0.8512435508253734,1
61,AI extraction error,low extraction error,0.6214800033463701,0.591232263013699,-0.03024774033267108,0.10837314782542141,0.3788208932758731,0.803643632751525,1
62,AI extraction error,low extraction error,0.6514128413265741,0.4643202922629753,-0.1870925490635988,0.1162773110806359,0.23641676254492894,0.6922238219810216,1
63,AI extraction error,low extraction error,0.6358716318313358,0.5036188764191469,-0.13225275541218884,0.10866177106252083,0.2906418051366061,0.7165959477016878,1
64,AI extraction error,low extraction error,0.6379745908797688,0.6399886111563904,0.0020140202766215642,0.10843495039431025,0.4274561083835423,0.8525211139292385,1
65,AI extraction error,low extraction error,0.6341688217560336,0.4730318467260198,-0.16113697503001384,0.10563477088356708,0.2659876957942283,0.6800759976578112,1
66,AI extraction error,low extraction error,0.6405288549950324,0.7488473177492461,0.10831846275421364,0.11791966027054966,0.5177247836189687,0.9799698518795235,1
67,AI extraction error,low extraction error,0.6427545437245599,0.5613253254426832,-0.08142921828187666,0.10380450639228334,0.35786849291380785,0.7647821579715586,1
68,AI extraction error,low extraction error,0.651360504413724,0.5679586302442519,-0.08340187416947209,0.10924049108155441,0.3538472677244052,0.7820699927640985,1
69,AI extraction error,low extraction error,0.629835632122448,0.512021452634433,-0.11781417948801498,0.10817669198021049,0.29999513635322045,0.7240477689156455,1
